Year_of_prod,Season,Episode_Title,Duration,Summary,Director,Stars,Votes,episode_num_in_season,episode_num_overall,directed_by,written_by,original_air_date,prod_code,us_viewers
1998,4,the one with joey's dirty day,22,"Joey arrives on the set of his latest movie unwashed, after a three-day fishing trip with his dad. Rachel sets up Ross with the niece of her boss. Chandler goes through three phrases to help recover from Kathy cheating on him.",Peter Bonerz,8.2,3028,14,87,Peter Bonerz,Wil Calhoun,05/02/1998,466614,25080000
1998,4,the one with all the rugby,22,"Chandler runs into Janice, and finds her more irritating than ever and creates an elaborate plan to break up with her, meanwhile, Ross attempts to learn how to play rugby to impress Emily and Monica obsesses over a electric lighting switch.",James Burrows,8.5,3180,15,88,James Burrows,Story by: Ted Cohen & Andrew ReichTeleplay by: Wil Calhoun,26/02/1998,466617,24440000
1998,4,the one with the fake party,22,Rachel organizes a fake good bye party for Emily so she can spend time with Joshua. A side effect from her pregnancy causes Phoebe to have a craving for meat.,Michael Lembeck,8.2,3061,16,89,Michael Lembeck,Story by: Alicia Sky VarinaitisTeleplay by: Scott Silveri & Shana Goldberg-Meehan,19/03/1998,466615,23130000
1998,4,the one with the free porn,22,Chandler and Joey discover that they're getting a free porn channel on their TV. Monica encourages Ross to tell Emily he loves her just before she leaves for London. Phoebe gets a shock when she visits her OB-GYN.,Michael Lembeck,8.6,3212,17,90,Michael Lembeck,Story by: Mark KunerthTeleplay by: Richard Goodman,26/03/1998,466616,23220000
1998,4,the one with rachel's new dress,22,Rachel has an awkward encounter with Joshua's parents. Phoebe is offered the chance to name one of the triplets. Ross becomes paranoid when Emily goes to London with Susan.,Gail Mancuso,8.3,3011,18,91,Gail Mancuso,Story by: Andrew Reich & Ted CohenTeleplay by: Jill Condon & Amy Toomin,02/04/1998,466620,21720000
1998,4,the one with all the haste,22,Ross proposes to Emily. Monica and Rachel try to win their apartment back from Chandler and Joey.,Kevin Bright,8.7,3168,19,92,Kevin S. Bright,Scott Silveri & Wil Calhoun,09/04/1998,466618,21760000
1998,4,the one with all the wedding dresses,22,"Monica tries on Emily's wedding dress, and can't stop wearing it. Jealous of Ross's proposal to Emily, Rachel tries to talk Joshua into marriage. Chandler takes Joey to a sleep clinic when he starts snoring.",Gail Mancuso,8.5,3110,20,93,Gail Mancuso,Story by: Adam ChaseTeleplay by: Gregory S. Malins & Michael Curtis,16/04/1998,466621,21940000
1998,4,the one with the invitation,22,"As Ross and Emily send out wedding invitations, he and Rachel each look back on their relationship together while Joey and Chandler look for a purpose in life.",Peter Bonerz,7.2,3364,21,94,Peter Bonerz,Seth Kurland,23/04/1998,466619,21510000
1998,4,the one with the worst best man ever,22,"at first Ross chooses Joey to be his best man but after a mishap at his bachelor party, he decides he wants both Joey and Chandler as his best men. Phoebe's mood swings makes Monica and Rachel nervous.",Peter Bonerz,8.5,3052,22,95,Peter Bonerz,Story by: Seth KurlandTeleplay by: Gregory S. Malins & Michael Curtis,30/04/1998,466622,23150000
1998,4,the one with ross's wedding,30,"Phoebe tries to help Rachel deal with her feelings for Ross as the rest of the gang head to London for Ross and Emily's wedding, while someone else unexpectedly shows up to the wedding.",Kevin Bright,8.7,3343,23,96,Kevin S. Bright,Michael Borkow,07/05/1998,466623,31610000
1998,4,the one with ross's wedding,30,Phoebe tries to warn the gang that Rachel is coming to London to tell Ross she still loves him. Ross and Emily's parents get into an argument over the bill for the wedding. Monica and Chandler sleep together. The wedding ends with a gaffe.,Kevin Bright,9.2,4217,23,96,Kevin S. Bright,Michael Borkow,07/05/1998,466623,31610000
1998,5,the one after ross says rachel,22,"A humiliated Emily runs away after Ross says Rachel's name at the altar. Meanwhile, Chandler and Monica struggle to get time alone together.",Kevin Bright,8.9,3609,1,98,Kevin S. Bright,Seth Kurland,24/09/1998,467651,31120000
1998,5,the one with all the kissing,22,Chandler must constantly kiss the girls to cover up a kiss he gave to Monica to hide their affair. Phoebe gets irritated when the gang constantly talk about London. Rachel puts Monica in charge of her love life. Ross tries to contact Emily.,Gary Halvorson,9,3674,2,99,Gary Halvorson,Wil Calhoun,01/10/1998,467652,25360000
